# V6 Asian option solution: Rogers-Shi reduction z=(K-A/T)/S
# delta_reduced_dz = -du/dz  (sensitivity w.r.t. reduced coordinate)
# delta_Asian_financial = U(z0) - z0*U_z(z0)  (financial Delta via chain rule)
# z0=1  sigma=0.2  r=0.09  K=100  S0=100  T=1
z,u,du_dz,delta_reduced_dz,delta_Asian_financial
0.68,0.3347943035,-0.9138192764,0.9138192764,0.6329110205
0.69,0.3256564162,-0.9137400059,0.9137400059,0.6329110205
0.7,0.3165195034,-0.9136156545,0.9136156545,0.6329110205
0.71,0.3073841031,-0.9134256354,0.9134256354,0.6329110205
0.72,0.2982509907,-0.9131423994,0.9131423994,0.6329110205
0.73,0.2891212551,-0.912730057,0.912730057,0.6329110205
0.74,0.2799963895,-0.9121430527,0.9121430527,0.6329110205
0.75,0.2708783941,-0.9113250065,0.9113250065,0.6329110205
0.76,0.2617698894,-0.9102078452,0.9102078452,0.6329110205
0.77,0.2526742372,-0.9087113534,0.9087113534,0.6329110205
0.78,0.2435956623,-0.9067432605,0.9067432605,0.6329110205
0.79,0.234539372,-0.9041999593,0.9041999593,0.6329110205
0.8,0.2255116632,-0.9009679187,0.9009679187,0.6329110205
0.81,0.2165200136,-0.8969258097,0.8969258097,0.6329110205
0.82,0.207573147,-0.8919473171,0.8919473171,0.6329110205
0.83,0.1986810672,-0.8859045563,0.8859045563,0.6329110205
0.84,0.1898550558,-0.8786719721,0.8786719721,0.6329110205
0.85,0.1811076278,-0.870130552,0.870130552,0.6329110205
0.86,0.1724524448,-0.8601721612,0.8601721612,0.6329110205
0.87,0.1639041846,-0.8487037874,0.8487037874,0.6329110205
0.88,0.1554783691,-0.8356514837,0.8356514837,0.6329110205
0.89,0.1471911549,-0.8209638116,0.8209638116,0.6329110205
0.9,0.1390590928,-0.8046146091,0.8046146091,0.6329110205
0.91,0.1310988627,-0.7866049499,0.7866049499,0.6329110205
0.92,0.1233269938,-0.7669641999,0.7669641999,0.6329110205
0.93,0.1157595787,-0.74575013,0.74575013,0.6329110205
0.94,0.1084119912,-0.7230480887,0.7230480887,0.6329110205
0.95,0.1012986169,-0.6989692899,0.6989692899,0.6329110205
0.96,0.09443260543,-0.6736483045,0.6736483045,0.6329110205
0.97,0.08782565086,-0.6472398858,0.6472398858,0.6329110205
0.98,0.08148780771,-0.6199152743,0.6199152743,0.6329110205
0.99,0.07542734537,-0.5918581468,0.5918581468,0.6329110205
1,0.06965064477,-0.5632603757,0.5632603757,0.6329110205
1.01,0.06416213786,-0.5343177618,0.5343177618,0.6329110205
1.02,0.05896428954,-0.5052258895,0.5052258895,0.6329110205
1.03,0.05405762007,-0.4761762377,0.4761762377,0.6329110205
1.04,0.04944076479,-0.4473526529,0.4473526529,0.6329110205
1.05,0.04511056701,-0.4189282713,0.4189282713,0.6329110205
1.06,0.04106219936,-0.3910629452,0.3910629452,0.6329110205
1.07,0.03728930811,-0.3639012079,0.3639012079,0.6329110205
1.08,0.0337841752,-0.3375707846,0.3375707846,0.6329110205
1.09,0.03053789242,-0.3121816379,0.3121816379,0.6329110205
1.1,0.02754054244,-0.2878255178,0.2878255178,0.6329110205
1.11,0.02478138206,-0.2645759724,0.2645759724,0.6329110205
1.12,0.022249023,-0.2424887654,0.2424887654,0.6329110205
1.13,0.01993160675,-0.2216026407,0.2216026407,0.6329110205
1.14,0.01781697018,-0.2019403686,0.2019403686,0.6329110205
1.15,0.01589279938,-0.1835100118,0.1835100118,0.6329110205
1.16,0.01414676994,-0.1663063481,0.1663063481,0.6329110205
1.17,0.01256667242,-0.1503123916,0.1503123916,0.6329110205
1.18,0.01114052211,-0.1355009621,0.1355009621,0.6329110205
1.19,0.009856653175,-0.1218362552,0.1218362552,0.6329110205
1.2,0.008703797009,-0.1092753752,0.1092753752,0.6329110205
1.21,0.007671145671,-0.09776979915,0.09776979915,0.6329110205
1.22,0.006748401026,-0.08726674783,0.08726674783,0.6329110205
1.23,0.005925810715,-0.07771044526,0.07771044526,0.6329110205
1.24,0.005194192121,-0.06904325525,0.06904325525,0.6329110205
1.25,0.00454494561,-0.06120668824,0.06120668824,0.6329110205
1.26,0.003970058356,-0.05414227664,0.05414227664,0.6329110205
1.27,0.003462100077,-0.04779232039,0.04779232039,0.6329110205
1.28,0.003014211948,-0.04210050774,0.04210050774,0.6329110205
1.29,0.002620089922,-0.03701241846,0.03701241846,0.6329110205
1.3,0.002273963579,-0.03247591853,0.03247591853,0.6329110205
1.31,0.001970571552,-0.02844145615,0.02844145615,0.6329110205
1.32,0.001705134456,-0.02486226999,0.02486226999,0.6329110205
1.33,0.001473326152,-0.02169452027,0.02169452027,0.6329110205
1.34,0.001271244051,-0.01889735355,0.01889735355,0.6329110205
1.35,0.001095379081,-0.01643291138,0.01643291138,0.6329110205
1.36,0.0009425858231,-0.01426629253,0.01426629253,0.6329110205
1.37,0.0008100532304,-0.01236547766,0.01236547766,0.6329110205
1.38,0.00069527627,-0.01070122451,0.01070122451,0.6329110205
1.39,0.0005960287402,-0.009246940875,0.009246940875,0.6329110205
1.4,0.0005103374525,-0.007978541488,0.007978541488,0.6329110205
1.41,0.0004364579104,-0.006874294436,0.006874294436,0.6329110205
1.42,0.0003728515638,-0.005914661587,0.005914661587,0.6329110205
1.43,0.0003181646787,-0.00508213693,0.00508213693,0.6329110205
1.44,0.0002712088252,-0.004361085928,0.004361085928,0.6329110205
1.45,0.0002309429601,-0.003737588392,0.003737588392,0.6329110205
1.46,0.0001964570573,-0.003199286816,0.003199286816,0.6329110205
1.47,0.0001669572238,-0.002735241597,0.002735241597,0.6329110205
1.48,0.0001417522254,-0.00233579418,0.00233579418,0.6329110205
1.49,0.0001202413402,-0.001992438787,0.001992438787,0.6329110205
1.5,0.0001019034497,-0.001697703095,0.001697703095,0.6329110205
1.51,8.628727829e-05,-0.001445038,0.001445038,0.6329110205
1.52,7.300268967e-05,-0.001228716385,0.001228716385,0.6329110205
1.53,6.171295058e-05,-0.001043740694,0.001043740694,0.6329110205
1.54,5.212787579e-05,-0.0008857589633,0.0008857589633,0.6329110205
1.55,4.399777132e-05,-0.0007509889063,0.0007509889063,0.6329110205
1.56,3.710809767e-05,-0.0006361495726,0.0006361495726,0.6329110205
1.57,3.127477986e-05,-0.0005384000805,0.0005384000805,0.6329110205
1.58,2.634009606e-05,-0.0004552848976,0.0004552848976,0.6329110205
1.59,2.216908191e-05,-0.0003846851422,0.0003846851422,0.6329110205
1.6,1.864639321e-05,-0.0003247753885,0.0003247753885,0.6329110205
1.61,1.567357414e-05,-0.0002739854741,0.0002739854741,0.6329110205
1.62,1.316668373e-05,-0.0002309668281,0.0002309668281,0.6329110205
1.63,1.105423758e-05,-0.0001945628703,0.0001945628703,0.6329110205
1.64,9.275426325e-06,-0.0001637830557,0.0001637830557,0.6329110205
1.65,7.778576465e-06,-0.0001377801743,0.0001377801743,0.6329110205
1.66,6.51982284e-06,-0.0001158305432,0.0001158305432,0.6329110205
1.67,5.4619656e-06,-9.731676364e-05,9.731676364e-05,0.6329110205
1.68,4.573487567e-06,-8.171274067e-05,8.171274067e-05,0.6329110205
1.69,3.827710786e-06,-6.857069775e-05,6.857069775e-05,0.6329110205
1.7,3.202073612e-06,-5.750994062e-05,5.750994062e-05,0.6329110205
1.71,2.677511974e-06,-4.820715393e-05,4.820715393e-05,0.6329110205
1.72,2.237930533e-06,-4.038803619e-05,4.038803619e-05,0.6329110205
1.73,1.86975125e-06,-3.382010069e-05,3.382010069e-05,0.6329110205
1.74,1.561528519e-06,-2.830649015e-05,2.830649015e-05,0.6329110205
1.75,1.303621447e-06,-2.368067042e-05,2.368067042e-05,0.6329110205
1.76,1.087915111e-06,-1.980188537e-05,1.980188537e-05,0.6329110205
1.77,9.075837398e-07,-1.655126924e-05,1.655126924e-05,0.6329110205
1.78,7.568897261e-07,-1.382852603e-05,1.382852603e-05,0.6329110205
1.79,6.310132191e-07,-1.154909711e-05,1.154909711e-05,0.6329110205
1.8,5.259077839e-07,-9.641748395e-06,9.641748395e-06,0.6329110205
1.81,4.381782512e-07,-8.046517775e-06,8.046517775e-06,0.6329110205
1.82,3.649774284e-07,-6.71297128e-06,6.71297128e-06,0.6329110205
1.83,3.039188256e-07,-5.598723718e-06,5.598723718e-06,0.6329110205
1.84,2.530029541e-07,-4.668185698e-06,4.668185698e-06,0.6329110205
1.85,2.105551116e-07,-3.89150441e-06,3.89150441e-06,0.6329110205
1.86,1.751728659e-07,-3.243670412e-06,3.243670412e-06,0.6329110205
1.87,1.456817034e-07,-2.703766948e-06,2.703766948e-06,0.6329110205
1.88,1.210975269e-07,-2.254342171e-06,2.254342171e-06,0.6329110205
1.89,1.0059486e-07,-1.880888123e-06,1.880888123e-06,0.6329110205
1.9,8.347976445e-08,-1.57141358e-06,1.57141358e-06,0.6329110205
1.91,6.916658838e-08,-1.316100941e-06,1.316100941e-06,0.6329110205
1.92,5.715774564e-08,-1.107040395e-06,1.107040395e-06,0.6329110205
