# V4 2D basket call-on-min — rho=0
# K=100 T=1 r=0.05 sigma1=0.2 sigma2=0.2
# N_x=64 N_y=64 N_t=500 p=1 delta_p=2
x1,x2,S1,S2,u_DPG,delta1,delta2
-2.671875,-0.890625,6.912249904,41.03991731,4.307138553e-07,3.781763059e-07,2.004837529e-08
-2.671875,-0.796875,6.912249904,45.07353134,3.366091737e-07,3.549719972e-07,1.730201477e-08
-2.671875,-0.703125,6.912249904,49.50358969,3.798874323e-07,3.105455606e-07,1.662921878e-09
-2.671875,-0.609375,6.912249904,54.36905695,3.224968593e-07,2.429128276e-07,-8.243502962e-10
-2.671875,-0.515625,6.912249904,59.71272734,2.732499022e-07,1.808763145e-07,-5.050798441e-09
-2.671875,-0.421875,6.912249904,65.58160113,2.727979829e-07,1.057991891e-07,-1.234208047e-08
-2.671875,-0.328125,6.912249904,72.027298,1.472407614e-07,3.065704308e-08,-1.344004113e-08
-2.671875,-0.234375,6.912249904,79.10651109,2.113817183e-07,-3.744758145e-08,-1.407060071e-08
-2.671875,-0.140625,6.912249904,86.88150563,1.014062851e-08,-8.381472782e-08,-6.301179218e-09
-2.671875,-0.046875,6.912249904,95.4206666,1.619862837e-07,-1.185089599e-07,-2.020910195e-08
-2.671875,0.046875,6.912249904,104.7991002,6.400611966e-08,-1.073710365e-07,1.556032101e-09
-2.671875,0.140625,6.912249904,115.0992945,5.766769248e-08,-1.03303914e-07,-1.005005781e-08
-2.671875,0.234375,6.912249904,126.4118448,8.774570625e-08,-9.294256055e-08,-2.692619864e-09
-2.671875,0.328125,6.912249904,138.8362507,1.158744707e-07,-3.404661194e-08,-6.866016248e-10
-2.671875,0.421875,6.912249904,152.4817911,1.238420997e-07,3.77967987e-08,-2.097740285e-09
-2.671875,0.515625,6.912249904,167.4684853,1.491938896e-07,1.050426153e-07,-1.440927078e-09
-2.671875,0.609375,6.912249904,183.9281489,1.985437209e-07,1.711203441e-07,-9.117427215e-10
-2.671875,0.703125,6.912249904,202.0055528,2.154380353e-07,2.473075809e-07,-2.541723758e-09
-2.671875,0.796875,6.912249904,221.8596969,2.313018331e-07,3.122829916e-07,-2.042263174e-09
-2.671875,0.890625,6.912249904,243.6652083,2.171060341e-07,3.686921344e-07,-3.270359151e-09
-2.671875,0.984375,6.912249904,267.6138775,2.80694143e-07,4.028219867e-07,-3.712100216e-09
-2.671875,1.078125,6.912249904,293.916345,2.396503555e-07,4.278820325e-07,-3.329091444e-09
-2.671875,1.171875,6.912249904,322.8039542,2.385688266e-07,4.456208632e-07,-3.032355197e-09
-2.671875,1.265625,6.912249904,354.5307861,2.325658136e-07,4.581309754e-07,-2.460329415e-09
-2.671875,1.359375,6.912249904,389.3758942,2.13858387e-07,4.586055442e-07,-1.580092344e-09
-2.671875,1.453125,6.912249904,427.6457586,2.293146598e-07,4.528500735e-07,-6.467836159e-10
-2.671875,1.546875,6.912249904,469.676982,2.225897595e-07,4.529680632e-07,4.820876531e-10
-2.671875,1.640625,6.912249904,515.83925,2.420538218e-07,4.64765442e-07,1.285577219e-09
-2.671875,1.734375,6.912249904,566.5385831,2.427887382e-07,4.688778168e-07,2.144956501e-09
-2.671875,1.828125,6.912249904,622.2209072,2.51539212e-07,4.802563302e-07,2.654469171e-09
-2.671875,1.921875,6.912249904,683.3759764,3.178128456e-07,4.99792521e-07,2.747294902e-09
-2.671875,2.015625,6.912249904,750.5416801,3.23196279e-07,5.113191409e-07,2.733895721e-09
-2.671875,2.109375,6.912249904,824.3087744,3.740308675e-07,5.288410534e-07,2.480065172e-09
-2.671875,2.203125,6.912249904,905.326078,3.273623197e-07,5.399174046e-07,2.226517787e-09
-2.671875,2.296875,6.912249904,994.3061786,3.59036043e-07,5.334786561e-07,1.380387338e-09
-2.671875,2.390625,6.912249904,1092.031701,4.755693861e-07,5.098897253e-07,4.096398128e-10
-2.671875,2.484375,6.912249904,1199.36219,3.380404171e-07,4.8697942e-07,8.911416525e-10
-2.671875,2.578125,6.912249904,1317.241671,1.664511513e-07,4.446842955e-07,-5.816757119e-10
-2.671875,2.671875,6.912249904,1446.706953,5.667728833e-07,3.480865245e-07,-1.57267517e-09
-2.671875,2.765625,6.912249904,1588.896749,-9.918372294e-09,2.870012642e-07,3.483555736e-10
-2.671875,2.859375,6.912249904,1745.061689,8.685631232e-09,1.853224193e-07,-2.540604539e-09
-2.671875,2.953125,6.912249904,1916.575322,4.610762534e-07,4.167413844e-08,-9.641998812e-10
-2.578125,-2.953125,7.591621356,5.217639967,1.955655692e-08,2.584173389e-08,6.869604865e-07
-2.578125,-2.859375,7.591621356,5.730456443,1.234587584e-07,5.714636819e-08,5.507219756e-07
-2.578125,-2.765625,7.591621356,6.293675158,2.27029217e-07,8.642512185e-08,4.226843497e-07
-2.578125,-2.671875,7.591621356,6.912249904,2.799173211e-07,1.136629145e-07,2.711518109e-07
-2.578125,-2.578125,7.591621356,7.591621356,3.649554433e-07,1.158436403e-07,1.19747601e-07
-2.578125,-2.484375,7.591621356,8.337764926,3.755189797e-07,1.076470911e-07,2.665059902e-08
