x,S,u_h,u_exact,error
2.625,1380.457419,1285.333105,1285.334476,0.001370764081
2.6484375,1413.194023,1318.069695,1318.07108,0.001385352025
2.671875,1446.706953,1351.582615,1351.584011,0.001395802793
2.6953125,1481.01462,1385.890277,1385.891678,0.001400897996
2.71875,1516.13587,1421.011528,1421.012927,0.001399196065
2.7421875,1552.089996,1456.965664,1456.967053,0.001389016292
2.765625,1588.896749,1493.772438,1493.773807,0.001368427703
2.7890625,1626.57635,1531.452072,1531.453407,0.001335244066
2.8125,1665.149496,1570.025267,1570.026554,0.001287026239
2.8359375,1704.637379,1609.513215,1609.514436,0.00122109266
2.859375,1745.061689,1649.937612,1649.938747,0.001134538539
2.8828125,1786.444635,1691.320668,1691.321692,0.001024263753
2.90625,1828.808948,1733.685119,1733.686006,0.0008870089555
2.9296875,1872.177903,1777.054241,1777.05496,0.000719398912
2.953125,1916.575322,1821.451862,1821.45238,0.0005179915174
2.9765625,1962.025596,1866.902374,1866.902654,0.0002793305659
3,2008.553692,1913.43075,1913.43075,2.273736754e-13
