# Basket Delta surfaces — N=256, rho=0.0, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# ~50x50 subgrid of full 256x256 mesh; 2704 rows
x1,x2,S1,S2,u_DPG,delta1,delta2
-5.5078125,-3.3984375,0.4054967931,3.342545645,6.071830457e-07,1.142745164e-05,2.005473636e-06
-5.5078125,-3.1640625,0.4054967931,4.225373613,1.246195406e-06,1.774152885e-05,1.649886814e-06
-5.5078125,-2.9296875,0.4054967931,5.341372733,1.966184855e-06,2.133153099e-05,6.699699653e-07
-5.5078125,-2.6953125,0.4054967931,6.752127808,1.981800144e-06,2.470627892e-05,5.431074755e-07
-5.5078125,-2.4609375,0.4054967931,8.535489323,2.152761442e-06,2.591058451e-05,2.361185176e-07
-5.5078125,-2.2265625,0.4054967931,10.78986951,2.146124358e-06,2.503923866e-05,-6.293264275e-08
-5.5078125,-1.9921875,0.4054967931,13.6396731,1.961473188e-06,2.148024526e-05,-1.98556336e-07
-5.5078125,-1.7578125,0.4054967931,17.24216239,1.794849035e-06,1.561149794e-05,-3.490981373e-07
-5.5078125,-1.5234375,0.4054967931,21.79613556,1.231762073e-06,7.812474703e-06,-4.774084611e-07
-5.5078125,-1.2890625,0.4054967931,27.55289705,2.180028907e-07,-1.243000229e-06,-4.322532589e-07
-5.5078125,-1.0546875,0.4054967931,34.83012544,-5.851640722e-07,-1.017264172e-05,-3.09388973e-07
-5.5078125,-0.8203125,0.4054967931,44.02940411,-1.124002722e-06,-1.806671891e-05,-2.478469954e-07
-5.5078125,-0.5859375,0.4054967931,55.65838198,-1.870815231e-06,-2.410645948e-05,-2.010204435e-07
-5.5078125,-0.3515625,0.4054967931,70.35878743,-2.633340274e-06,-2.806798871e-05,-1.278437715e-07
-5.5078125,-0.1171875,0.4054967931,88.94184116,-2.863369327e-06,-3.268006499e-05,-8.385757287e-08
-5.5078125,0.1171875,0.4054967931,112.4330222,-2.820379065e-06,-3.085758954e-05,-2.755011064e-08
-5.5078125,0.3515625,0.4054967931,142.1286575,-3.585252985e-06,-2.940913613e-05,-1.098474173e-08
-5.5078125,0.5859375,0.4054967931,179.6674579,-3.434230757e-06,-2.709502147e-05,4.220674505e-09
-5.5078125,0.8203125,0.4054967931,227.120948,-3.243481199e-06,-2.33673567e-05,1.467627228e-08
-5.5078125,1.0546875,0.4054967931,287.1077802,-3.045764468e-06,-1.833640633e-05,2.112115955e-08
-5.5078125,1.2890625,0.4054967931,362.9382414,-2.509837148e-06,-1.246865426e-05,2.443196817e-08
-5.5078125,1.5234375,0.4054967931,458.7969264,-1.687949015e-06,-6.786549037e-06,2.028804673e-08
-5.5078125,1.7578125,0.4054967931,579.9736584,-1.091060075e-06,-1.422373487e-06,1.420188398e-08
-5.5078125,1.9921875,0.4054967931,733.1554008,-7.187584399e-07,3.181477656e-06,1.149135473e-08
-5.5078125,2.2265625,0.4054967931,926.7952672,-1.249592019e-07,6.96365477e-06,9.866643199e-09
-5.5078125,2.4609375,0.4054967931,1171.578995,5.533179383e-07,9.871582536e-06,6.816340063e-09
-5.5078125,2.6953125,0.4054967931,1481.01462,9.477134683e-07,1.208159544e-05,4.094553333e-09
-5.5078125,2.9296875,0.4054967931,1872.177903,1.685747354e-06,1.261259679e-05,3.364098472e-09
-5.5078125,3.1640625,0.4054967931,2366.654624,1.310858757e-06,1.358860855e-05,2.120355499e-09
-5.5078125,3.3984375,0.4054967931,2991.73177,1.951078518e-06,1.529589438e-05,1.414046711e-09
-5.5078125,3.6328125,0.4054967931,3781.903321,2.094410744e-06,1.582119741e-05,6.31608878e-10
-5.5078125,3.8671875,0.4054967931,4780.773756,2.186300198e-06,1.538749238e-05,1.515996558e-10
-5.5078125,4.1015625,0.4054967931,6043.464299,2.173226987e-06,1.410322443e-05,-1.439383215e-10
-5.5078125,4.3359375,0.4054967931,7639.654709,1.967670178e-06,1.24793021e-05,-2.915229949e-10
-5.5078125,4.5703125,0.4054967931,9657.428452,1.746219115e-06,1.052746508e-05,-3.201850403e-10
-5.5078125,4.8046875,0.4054967931,12208.13346,1.612792902e-06,8.407286355e-06,-3.27714255e-10
-5.5078125,5.0390625,0.4054967931,15432.52672,1.319833759e-06,6.350157315e-06,-3.213354939e-10
-5.5078125,5.2734375,0.4054967931,19508.54173,8.654653626e-07,4.501561854e-06,-2.547939969e-10
-5.5078125,5.5078125,0.4054967931,24661.10749,5.549772997e-07,2.96820172e-06,-1.760698305e-10
-5.5078125,5.7421875,0.4054967931,31174.56092,4.117677903e-07,1.551791993e-06,-1.479881023e-10
-5.5078125,5.9765625,0.4054967931,39408.33756,-5.556059443e-08,1.293765384e-07,-8.91744332e-11
-5.2734375,-5.9765625,0.5125959766,0.2537534091,-1.798068928e-08,-1.595823261e-07,-1.312785249e-05
-5.2734375,-5.7421875,0.5125959766,0.3207743656,-4.134779648e-07,-2.21778418e-06,-1.056894687e-05
-5.2734375,-5.5078125,0.5125959766,0.4054967931,-5.82672932e-07,-3.826532886e-06,-7.431508537e-06
-5.2734375,-5.2734375,0.5125959766,0.5125959766,-7.87899904e-07,-4.972630923e-06,-4.987170933e-06
-5.2734375,-5.0390625,0.5125959766,0.6479820303,-9.508225755e-07,-5.417288274e-06,-2.226765092e-06
-5.2734375,-4.8046875,0.5125959766,0.8191260383,-9.972615089e-07,-5.03301e-06,-4.224511838e-07
-5.2734375,-4.5703125,0.5125959766,1.035472336,-1.011377728e-06,-3.799490908e-06,1.325264936e-06
-5.2734375,-4.3359375,0.5125959766,1.308959682,-8.514653413e-07,-1.67330337e-06,3.117834657e-06
-5.2734375,-4.1015625,0.5125959766,1.654680082,-3.972897056e-07,1.232277461e-06,3.449689053e-06
-5.2734375,-3.8671875,0.5125959766,2.091711616,3.849842023e-08,4.431552998e-06,2.83223223e-06
-5.2734375,-3.6328125,0.5125959766,2.644171242,3.372376686e-07,7.558390048e-06,2.679388783e-06
-5.2734375,-3.3984375,0.5125959766,3.342545645,8.506954859e-07,1.028524538e-05,2.556918598e-06
-5.2734375,-3.1640625,0.5125959766,4.225373613,1.703141403e-06,1.2164792e-05,1.993083695e-06
-5.2734375,-2.9296875,0.5125959766,5.341372733,2.457658103e-06,1.168446951e-05,8.437526543e-07
-5.2734375,-2.6953125,0.5125959766,6.752127808,2.484877158e-06,1.265864082e-05,5.817591723e-07
-5.2734375,-2.4609375,0.5125959766,8.535489323,2.58202961e-06,1.090871716e-05,1.521108288e-07
-5.2734375,-2.2265625,0.5125959766,10.78986951,2.473805176e-06,7.556509789e-06,-2.077175584e-07
-5.2734375,-1.9921875,0.5125959766,13.6396731,2.186485973e-06,3.203600614e-06,-3.386982109e-07
-5.2734375,-1.7578125,0.5125959766,17.24216239,1.918943501e-06,-1.631718153e-06,-4.964311669e-07
-5.2734375,-1.5234375,0.5125959766,21.79613556,1.198035434e-06,-6.418802913e-06,-6.292462042e-07
-5.2734375,-1.2890625,0.5125959766,27.55289705,-5.674228471e-08,-1.041584802e-05,-5.41274389e-07
-5.2734375,-1.0546875,0.5125959766,34.83012544,-1.024843926e-06,-1.27178569e-05,-3.660398563e-07
-5.2734375,-0.8203125,0.5125959766,44.02940411,-1.543761675e-06,-1.290099473e-05,-2.75174996e-07
-5.2734375,-0.5859375,0.5125959766,55.65838198,-2.227675886e-06,-1.121716498e-05,-2.101819163e-07
-5.2734375,-0.3515625,0.5125959766,70.35878743,-3.003092575e-06,-7.727133567e-06,-1.225143815e-07
-5.2734375,-0.1171875,0.5125959766,88.94184116,-3.331820837e-06,-3.771353685e-06,-7.344482757e-08
-5.2734375,0.1171875,0.5125959766,112.4330222,-3.31903989e-06,2.452945701e-06,-1.752162296e-08
-5.2734375,0.3515625,0.5125959766,142.1286575,-3.584375066e-06,7.15409453e-06,-7.078050552e-10
-5.2734375,0.5859375,0.5125959766,179.6674579,-3.365565193e-06,1.141883535e-05,1.368644156e-08
-5.2734375,0.8203125,0.5125959766,227.120948,-3.110894003e-06,1.492231639e-05,2.156312293e-08
-5.2734375,1.0546875,0.5125959766,287.1077802,-2.814064793e-06,1.717539451e-05,2.675217554e-08
-5.2734375,1.2890625,0.5125959766,362.9382414,-2.188200197e-06,1.801707605e-05,2.844317415e-08
-5.2734375,1.5234375,0.5125959766,458.7969264,-1.314251514e-06,1.770252019e-05,2.255547481e-08
-5.2734375,1.7578125,0.5125959766,579.9736584,-7.142348701e-07,1.620775355e-05,1.504017493e-08
-5.2734375,1.9921875,0.5125959766,733.1554008,-3.807700081e-07,1.371436755e-05,1.172599268e-08
-5.2734375,2.2265625,0.5125959766,926.7952672,1.271810221e-07,1.050693003e-05,9.791538796e-09
-5.2734375,2.4609375,0.5125959766,1171.578995,7.755169482e-07,6.776377785e-06,6.436032679e-09
-5.2734375,2.6953125,0.5125959766,1481.01462,1.186627177e-06,2.449663321e-06,3.46113267e-09
-5.2734375,2.9296875,0.5125959766,1872.177903,1.459466477e-06,-1.125892025e-06,2.984475939e-09
-5.2734375,3.1640625,0.5125959766,2366.654624,1.82140753e-06,-5.344680241e-06,1.899043885e-09
-5.2734375,3.3984375,0.5125959766,2991.73177,1.913076832e-06,-7.707844322e-06,1.26213104e-09
-5.2734375,3.6328125,0.5125959766,3781.903321,2.059833744e-06,-1.018431878e-05,4.793028982e-10
-5.2734375,3.8671875,0.5125959766,4780.773756,2.066107365e-06,-1.21887013e-05,1.147339695e-11
-5.2734375,4.1015625,0.5125959766,6043.464299,1.951937671e-06,-1.342817259e-05,-2.320000505e-10
-5.2734375,4.3359375,0.5125959766,7639.654709,1.747204517e-06,-1.392344545e-05,-3.466113921e-10
-5.2734375,4.5703125,0.5125959766,9657.428452,1.596473821e-06,-1.373636572e-05,-3.55021034e-10
-5.2734375,4.8046875,0.5125959766,12208.13346,1.427288118e-06,-1.278649157e-05,-3.378950405e-10
-5.2734375,5.0390625,0.5125959766,15432.52672,1.095746373e-06,-1.106672292e-05,-3.150631005e-10
-5.2734375,5.2734375,0.5125959766,19508.54173,7.091007934e-07,-8.724834711e-06,-2.401582941e-10
-5.2734375,5.5078125,0.5125959766,24661.10749,4.680655962e-07,-6.060871875e-06,-1.603194277e-10
-5.2734375,5.7421875,0.5125959766,31174.56092,3.580103786e-07,-3.225389167e-06,-1.361887283e-10
-5.2734375,5.9765625,0.5125959766,39408.33756,-6.388939046e-08,-2.064818838e-07,-8.035897327e-11
-5.0390625,-5.9765625,0.6479820303,0.2537534091,-1.424276077e-08,-8.947690479e-08,-1.613724244e-05
-5.0390625,-5.7421875,0.6479820303,0.3207743656,-4.956550715e-07,-1.221528854e-06,-1.295596714e-05
-5.0390625,-5.5078125,0.6479820303,0.4054967931,-7.01561366e-07,-2.038994381e-06,-8.808666589e-06
