S,delta_DPG_tau01,delta_exact_tau01,delta_DPG_tau025,delta_exact_tau025,delta_DPG_tau05,delta_exact_tau05,delta_DPG_tau10,delta_exact_tau10
169.4425508,1.000002171,1,0.9999864672,0.9999999746,0.999962702,0.9999650125,0.9986870912,0.9985900549
173.4607651,1.000007068,1,0.9999971368,0.9999999934,1.000009774,0.9999827929,0.9991997306,0.9990450808
177.5742686,1.0000172,1,1.000018453,0.9999999984,1.000061841,0.9999917567,0.9995869615,0.9993614882
181.785321,1.000010487,1,1.000027001,0.9999999996,1.000099155,0.9999961535,0.9998636254,0.9995785081
186.0962357,1.000008815,1,1.000045396,0.9999999999,1.000145769,0.9999982519,1.000079975,0.9997253316
190.5093807,1.000026479,1,1.000088558,1,1.000216088,0.9999992263,1.000268837,0.9998233107
195.0271805,1.000056547,1,1.000148246,1,1.00030059,0.9999996665,1.000434277,0.9998878041
199.6521168,1.00009307,1,1.00021494,1,1.000388117,0.99999986,1.000574987,0.9999296775
204.3867303,1.000135588,1,1.000282969,1,1.000471134,0.9999999428,1.000690373,0.9999564942
209.2336219,1.000181581,1,1.000347013,1,1.00054298,0.9999999772,1.000778147,0.9999734342
214.1954543,1.000209978,1,1.000382577,1,1.000578276,0.9999999912,1.000816271,0.9999839894
219.2749531,1.000204005,1,1.000371399,1,1.000558926,0.9999999967,1.000789731,0.9999904766
224.4749088,1.000166884,1,1.000317365,1,1.000489637,0.9999999988,1.000705752,0.9999944093
229.7981778,1.000119195,1,1.000243862,1,1.000395085,0.9999999996,1.000591066,0.999996761
235.2476846,1.000079276,1,1.000174294,1,1.000300499,0.9999999998,1.000472305,0.9999981481
240.8264226,1.000051785,1,1.000117202,1,1.000216362,0.9999999999,1.000361397,0.9999989551
246.5374567,1.000035067,1,1.000074089,1,1.000146196,1,1.000263274,0.9999994181
252.383924,1.000022547,1,1.000039446,1,1.000086117,1,1.000175387,0.9999996803
258.3690363,1.000013158,1,1.000012883,1,1.000036981,1,1.000099709,0.9999998266
264.4960814,1.000005308,1,0.9999923677,1,0.9999974344,1,1.000035701,0.9999999072
270.7684252,0.9999986138,1,0.9999771462,1,0.999967048,1,0.9999835866,0.999999951
277.1895134,0.9999953652,1,0.9999687251,1,0.9999471993,1,0.9999451157,0.9999999745
283.7628732,0.9999957711,1,0.9999663915,1,0.9999367819,1,0.9999193394,0.9999999869
290.4921158,0.9999998201,1,0.9999698966,1,0.9999350862,1,0.999905377,0.9999999933
297.3809379,1.000004412,1,0.9999750035,1,0.9999372709,1,0.9998982476,0.9999999967
304.4331236,1.000006345,1,0.999978404,1,0.9999396418,1,0.9998940032,0.9999999984
311.652547,1.00000511,1,0.9999787458,1,0.9999403353,1,0.9998905548,0.9999999992
319.0431742,1.000003972,1,0.9999792402,1,0.9999421668,1,0.9998903562,0.9999999996
326.6090651,1.000004843,1,0.9999818346,1,0.9999467188,1,0.999894498,0.9999999998
334.3543758,1.000008878,1,0.9999877608,1,0.9999549625,1,0.9999035719,0.9999999999
342.2833614,1.00001218,1,0.9999930691,1,0.9999628135,1,0.9999131878,1
350.4003774,1.000012357,1,0.9999952027,1,0.999967635,1,0.9999205542,1
358.7098828,1.000011183,1,0.9999957998,1,0.9999709416,1,0.9999269532,1
367.2164426,1.000010969,1,0.9999972871,1,0.9999750623,1,0.9999344626,1
375.9247296,1.000014161,1,1.000002325,1,0.9999825838,1,0.9999454162,1
384.8395276,1.000017962,1,1.000007868,1,0.9999904112,1,0.9999566246,1
393.965734,1.000019769,1,1.000011356,1,0.9999960251,1,0.9999655342,1
403.3083622,1.000019243,1,1.000011995,1,0.9999985727,1,0.9999712854,1
412.8725443,1.000018337,1,1.00001205,1,1.000000357,1,0.9999761052,1
