# Asian Greeks: Rogers-Shi reduction z=(K-A/T)/S, z0=K/S0=1.0
# delta_reduced_dz = -dU/dz  (reduced-coordinate sensitivity)
# delta_Asian_financial = U(z0) - z0*U_z(z0)  (financial Delta, Sec. 3.2)
sigma,z,u,delta_reduced_dz,delta_Asian_financial,note
0.05,-0.6100000000,1.5137987530,0.9139330359,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.6000000000,1.5046594220,0.9139330359,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5900000000,1.4955200920,0.9139330359,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5800000000,1.4863807620,0.9139330360,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5700000000,1.4772414310,0.9139330358,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5600000000,1.4681021010,0.9139330359,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5500000000,1.4589627710,0.9139330361,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5400000000,1.4498234400,0.9139330356,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5300000000,1.4406841100,0.9139330363,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5200000000,1.4315447790,0.9139330360,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5100000000,1.4224054490,0.9139330350,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.5000000000,1.4132661190,0.9139330374,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4900000000,1.4041267880,0.9139330351,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4800000000,1.3949874580,0.9139330344,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4700000000,1.3858481280,0.9139330401,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4600000000,1.3767087970,0.9139330316,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4500000000,1.3675694670,0.9139330354,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4400000000,1.3584301370,0.9139330450,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4300000000,1.3492908060,0.9139330218,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4200000000,1.3401514760,0.9139330426,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4100000000,1.3310121450,0.9139330504,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.4000000000,1.3218728150,0.9139330012,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3900000000,1.3127334850,0.9139330654,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3800000000,1.3035941540,0.9139330495,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3700000000,1.2944548240,0.9139329658,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3600000000,1.2853154940,0.9139331189,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3500000000,1.2761761620,0.9139330273,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3400000000,1.2670368340,0.9139329155,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3300000000,1.2578975040,0.9139332228,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3200000000,1.2487581690,0.9139329583,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3100000000,1.2396188440,0.9139328575,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.3000000000,1.2304795120,0.9139333994,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2900000000,1.2213401760,0.9139328083,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2800000000,1.2122008560,0.9139328060,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2700000000,1.2030615200,0.9139336702,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2600000000,1.1939221830,0.9139325394,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2500000000,1.1847828700,0.9139327769,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2400000000,1.1756435270,0.9139340562,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
