S,gamma_DPG_tau01,gamma_exact_tau01,gamma_DPG_tau025,gamma_exact_tau025,gamma_DPG_tau05,gamma_exact_tau05,gamma_DPG_tau10,gamma_exact_tau10
85.86930543,0.005877076026,0.02619472287,0.0189063716,0.09358512683,0.02326958705,0.1164195915,0.02129072807,0.1067094766
87.90563732,0.01202335532,0.05598475701,0.02450343688,0.1219984315,0.02568486095,0.1287075312,0.02166702821,0.1086415907
89.99025944,0.02165781677,0.1043000499,0.03009088003,0.1505376571,0.02758851862,0.1384374511,0.02175119578,0.1091000915
92.12431694,0.03429579036,0.1693783757,0.03501709946,0.1758245643,0.02883333516,0.1448688373,0.02153938672,0.1080662265
94.30898216,0.04775290701,0.2397674035,0.03855543519,0.1943826231,0.02930859259,0.1474918764,0.02104024057,0.105582206
96.54545522,0.05748967116,0.2958564526,0.04005305723,0.2034130533,0.02898085542,0.1460941993,0.02027480228,0.1017483439
98.83496471,0.06166023814,0.3182223512,0.03965135394,0.2014854505,0.02792338616,0.1407892808,0.0192745952,0.096716337
101.1787684,0.05834302463,0.2983589318,0.03734548359,0.1889087412,0.02621823342,0.1320012226,0.0180777925,0.09067930927
103.5781537,0.04804662019,0.2438406661,0.033271048,0.1676501356,0.02396321005,0.1204087542,0.01672674064,0.08385953303
106.0344388,0.03495941239,0.1737128548,0.02811582377,0.1408313219,0.02131392916,0.1068587078,0.01526734248,0.07649491193
108.5489731,0.02211504712,0.1078739317,0.02245215848,0.1119793891,0.01844030671,0.09226426342,0.01374631987,0.06882536625
111.1231378,0.01230894991,0.05839286545,0.01697889547,0.08427920376,0.01552036784,0.07750484742,0.01220865991,0.06108019097
113.7583471,0.006019186657,0.02755254979,0.0121661852,0.06004076891,0.01271026381,0.06334261055,0.0106956576,0.05346728284
116.4560485,0.002591654091,0.01133241664,0.008259350302,0.04048699634,0.01012835614,0.05036569096,0.009242999739,0.04616488043
119.2177241,0.0009858928359,0.004062954881,0.005313451811,0.02584213334,0.007853223859,0.03896237127,0.007879071508,0.0393161686
122.044891,0.0003325331499,0.00126975577,0.003239838691,0.01561293887,0.005924888691,0.02932430381,0.00662494915,0.03302680296
124.9391022,9.987496287e-05,0.0003459052227,0.001872903996,0.008928622204,0.004349780924,0.02147245918,0.0054948403,0.02736514508
127.9019476,2.68282641e-05,8.213963575e-05,0.001026842764,0.00483312165,0.003107655707,0.01529704722,0.004495731694,0.02236479118
130.9350549,6.377240686e-06,1.700227964e-05,0.000534031893,0.002476364089,0.002160613786,0.01060242416,0.003628374605,0.01802884117
134.0400902,1.248378865e-06,3.06775213e-06,0.0002635309787,0.001201004847,0.00146195397,0.007149480527,0.002888770814,0.01433529555
137.2187594,7.936466257e-08,4.824942105e-07,0.0001233784058,0.0005513387463,0.0009627776417,0.004690461186,0.002268951682,0.01124297804
140.4728085,-9.605785947e-08,6.61489075e-08,5.48690256e-05,0.0002395718354,0.0006172970084,0.002993838377,0.001758410903,0.008697450111
143.8040251,-1.205988116e-07,7.905183839e-09,2.315579753e-05,9.853635601e-05,0.0003854114258,0.001859143453,0.001344757416,0.006636489372
147.2142393,-8.259797203e-08,8.234931697e-10,9.263684476e-06,3.836195455e-05,0.0002344871249,0.001123231302,0.001015113393,0.004994830248
150.7053244,5.896090924e-08,7.477677962e-11,3.717570811e-06,1.413671319e-05,0.0001394776612,0.0006602330185,0.000756902852,0.003707993258
154.2791982,-2.076478612e-07,5.918780616e-12,1.271899518e-06,4.931052873e-06,8.107545237e-05,0.0003775696068,0.0005573972529,0.002715144899
157.9378239,-9.835626234e-10,4.083724702e-13,6.40963181e-07,1.628074833e-06,4.683679019e-05,0.0002100721892,0.0004063279318,0.001961024231
161.6832115,4.945536155e-07,2.456062421e-14,1.179776713e-06,5.088063918e-07,2.806311191e-05,0.0001137134512,0.0002941353847,0.001397039809
165.5174183,-6.27414321e-07,1.28760031e-15,3.270307683e-07,1.505130808e-07,1.66363415e-05,5.98862151e-05,0.0002102783448,0.0009816812041
169.4425508,-2.316052127e-07,5.884119357e-17,9.817623534e-07,4.21443562e-08,1.182576705e-05,3.068411748e-05,0.0001508012765,0.0006804058564
173.4607651,1.848115524e-06,2.343908229e-18,3.9334596e-06,1.116986937e-08,1.21916601e-05,1.52957985e-05,0.0001106617637,0.0004651590589
177.5742686,4.107045957e-07,8.138764141e-20,3.587491467e-06,2.802207272e-09,1.073700786e-05,7.418266245e-06,7.975137761e-05,0.0003136684199
181.785321,-9.838976897e-07,2.463400647e-21,3.161569505e-06,6.654200906e-10,9.848362788e-06,3.500293203e-06,5.785202409e-05,0.0002086296273
186.0962357,1.833149237e-06,6.499356633e-23,7.056024446e-06,1.495667491e-10,1.340360109e-05,1.606860514e-06,4.644757245e-05,0.0001368727651
190.5093807,5.344545716e-06,1.494735724e-24,1.151613314e-05,3.182128334e-11,1.733542652e-05,7.176681602e-07,3.967131785e-05,8.85714945e-05
195.0271805,7.283413767e-06,2.99652006e-26,1.382313817e-05,6.408314519e-12,1.881588157e-05,3.118465363e-07,3.348567143e-05,5.653361765e-05
199.6521168,8.444955609e-06,5.236350316e-28,1.43941982e-05,1.221556161e-12,1.822131587e-05,1.31834755e-07,2.736203999e-05,3.559225096e-05
204.3867303,9.23777713e-06,7.976253103e-30,1.378424244e-05,2.20407592e-13,1.616269524e-05,5.42238879e-08,2.120329821e-05,2.210242906e-05
209.2336219,7.584066282e-06,1.059077859e-31,1.015503501e-05,3.764290682e-14,1.092316858e-05,2.169817147e-08,1.28353286e-05,1.353818451e-05
214.1954543,2.233087016e-06,1.225788605e-33,2.428580429e-06,6.085317567e-15,1.588061893e-06,8.447483766e-09,1.153613553e-06,8.179311062e-06
219.2749531,-4.192279513e-06,1.236693277e-35,-6.343929719e-06,9.311654065e-16,-8.622912716e-06,3.199656379e-09,-1.075147797e-05,4.874262275e-06
224.4749088,-8.059228616e-06,1.087594866e-37,-1.211963432e-05,1.348695508e-16,-1.55694898e-05,1.179101145e-09,-1.887868155e-05,2.865081207e-06
229.7981778,-8.132336783e-06,8.337407464e-40,-1.328080354e-05,1.849032225e-17,-1.755706307e-05,4.227372594e-10,-2.167009743e-05,1.661119402e-06
235.2476846,-6.112542733e-06,5.571262657e-42,-1.148500751e-05,2.399487772e-18,-1.620595383e-05,1.474557593e-10,-2.082549989e-05,9.499497631e-07
240.8264226,-3.915811425e-06,3.245151448e-44,-8.875668561e-06,2.947379738e-19,-1.366749493e-05,5.004085227e-11,-1.851503686e-05,5.358414427e-07
246.5374567,-2.52978392e-06,1.647688212e-46,-6.727763993e-06,3.426866118e-20,-1.126932347e-05,1.652187764e-11,-1.609431819e-05,2.98131478e-07
252.383924,-1.851772761e-06,7.292456188e-49,-5.173087963e-06,3.771391981e-21,-9.230761172e-06,5.30720485e-12,-1.382449178e-05,1.636120325e-07
258.3690363,-1.423282663e-06,2.813399148e-51,-3.88688325e-06,3.928707542e-22,-7.3217422e-06,1.65860911e-12,-1.153271356e-05,8.856426425e-08
264.4960814,-1.172956916e-06,9.461230072e-54,-2.882178453e-06,3.873835899e-23,-5.640067168e-06,5.043058286e-13,-9.365162484e-06,4.728655458e-08
270.7684252,-7.83288852e-07,2.773464328e-56,-1.86258487e-06,3.615565468e-24,-3.957564552e-06,1.491817422e-13,-7.136419266e-06,2.490305895e-08
277.1895134,-2.187582385e-07,7.086899831e-59,-8.2763884e-07,3.194145769e-25,-2.329160135e-06,4.29347667e-14,-4.944201858e-06,1.293610687e-08
283.7628732,3.348892935e-07,1.578515073e-61,8.806872481e-08,2.671017451e-26,-9.105855891e-07,1.202193252e-14,-2.98728909e-06,6.628120048e-09
290.4921158,6.345248512e-07,3.064784207e-64,6.3239201e-07,2.11418122e-27,3.591075967e-08,3.27499929e-15,-1.548812348e-06,3.349754735e-09
297.3809379,4.680073459e-07,5.186922964e-67,6.102422975e-07,1.583985449e-28,3.267757149e-07,8.680003102e-16,-8.158470186e-07,1.669827182e-09
304.4331236,4.887412792e-08,7.652061006e-70,2.622237653e-07,1.123320426e-29,2.147191394e-07,2.23820724e-16,-5.390291314e-07,8.210430253e-10
311.652547,-1.623818906e-07,9.840241988e-73,5.722911857e-08,7.540490828e-31,1.728290317e-07,5.615034876e-17,-2.496213212e-07,3.981953451e-10
319.0431742,-1.780478418e-08,1.103041526e-75,2.065176754e-07,4.791142275e-32,4.268058677e-07,1.370491561e-17,2.636477686e-07,1.90485672e-10
